,country_code,yr,wk,period,total_predictions,true_positives,true_negatives,false_positives,false_negatives,accuracy,churn_rate,true_positive_rate,true_negative_rate,false_positive_rate,false_negative_rate,precision,recall,f2_score
0,ES,2019,34,201934,514035,,,,,,,,,,,,,
1,FR,2019,29,201929,1,,,,,,,,,,,,,
2,AR,2019,39,201939,195103,,,,,,,,,,,,,
3,ES,2019,25,201925,362069,25609.0,224712.0,17090.0,93546.0,0.6914,0.330108572489244,0.0707,0.6206,0.0472,0.2584,0.5998,0.2149,0.3164
4,PE,2019,30,201930,190150,26517.0,101888.0,17462.0,43428.0,0.6753,0.369502628172958,0.1395,0.5358,0.0918,0.2284,0.6029,0.3791,0.4655
5,FR,2019,24,201924,1,,,,,,,,,,,,,
6,ES,2019,21,201921,360960,24293.0,237568.0,19035.0,78967.0,0.7255,0.286942530907595,0.0673,0.6582,0.0527,0.2188,0.5607,0.2353,0.3315
7,IT,2019,38,201938,848612,,,,,,,,,,,,,
8,FR,2019,39,201939,1,,,,,,,,,,,,,
9,FR,2019,23,201923,1,,,,,,,,,,,,,
10,IT,2019,31,201931,170285,,,,,,,,,,,,,
11,FR,2019,36,201936,1,,,,,,,,,,,,,
12,PE,2019,22,201922,74731,3957.0,54967.0,3119.0,12443.0,0.7885,0.220175603469108,0.0529,0.7355,0.0417,0.1665,0.5592,0.2413,0.3371
13,FR,2019,28,201928,1,,,,,,,,,,,,,
14,PE,2019,29,201929,187058,24087.0,106959.0,19711.0,35535.0,0.7006,0.320045949369807,0.1288,0.5718,0.1054,0.19,0.55,0.404,0.4658
15,ES,2019,28,201928,531431,41095.0,325098.0,28134.0,135450.0,0.6891,0.333243987564579,0.0773,0.6117,0.0529,0.2549,0.5936,0.2328,0.3344
16,AR,2019,30,201930,200160,32342.0,92254.0,11244.0,63424.0,0.6225,0.480598602858519,0.1616,0.4609,0.0562,0.3169,0.742,0.3377,0.4642
17,IT,2019,39,201939,219041,,,,,,,,,,,,,
18,ES,2019,35,201935,488382,,,,,,,,,,,,,
19,PE,2019,23,201923,75949,4130.0,55679.0,3311.0,12577.0,0.7875,0.220708878819504,0.0544,0.7331,0.0436,0.1656,0.555,0.2472,0.342
20,IT,2019,27,201927,173518,14440.0,97750.0,5604.0,55310.0,0.6466,0.402936962750716,0.0832,0.5633,0.0323,0.3188,0.7204,0.207,0.3216
21,ES,2019,27,201927,363066,27492.0,204398.0,13730.0,116227.0,0.6387,0.397181681760523,0.0757,0.563,0.0378,0.3201,0.6669,0.1913,0.2973
22,IT,2019,23,201923,85707,6544.0,56179.0,4196.0,18583.0,0.7318,0.293876166639377,0.0764,0.6555,0.049,0.2168,0.6093,0.2604,0.3649
23,PE,2019,33,201933,201599,,,,,,,,,,,,,
24,PE,2019,38,201938,895929,,,,,,,,,,,,,
25,FR,2019,34,201934,1,,,,,,,,,,,,,
26,AR,2019,28,201928,195148,14511.0,111052.0,8266.0,60591.0,0.6434,0.386287418989816,0.0744,0.5691,0.0424,0.3105,0.6371,0.1932,0.2965
27,AR,2019,29,201929,199169,15826.0,105003.0,7565.0,69976.0,0.6067,0.432535161566769,0.0795,0.5272,0.038,0.3513,0.6766,0.1844,0.2898
28,ES,2019,32,201932,519545,,,,,,,,,,,,,
29,ES,2019,37,201937,2883832,,,,,,,,,,,,,
30,IT,2019,24,201924,86212,6645.0,55492.0,3936.0,19935.0,0.7207,0.309041019440052,0.0771,0.6437,0.0457,0.2312,0.628,0.25,0.3576
31,AR,2019,33,201933,204154,,,,,,,,,,,,,
32,AR,2019,36,201936,987761,,,,,,,,,,,,,
33,FR,2019,25,201925,1,,,,,,,,,,,,,
34,AR,2019,22,201922,77809,5005.0,49710.0,3868.0,19019.0,0.7032,0.30957965000902,0.0643,0.6389,0.0497,0.2444,0.5641,0.2083,0.3043
35,ES,2019,36,201936,2666476,,,,,,,,,,,,,
36,ES,2019,22,201922,361648,24656.0,236514.0,18741.0,80619.0,0.7222,0.292000665686628,0.0682,0.654,0.0518,0.2229,0.5681,0.2342,0.3317
37,IT,2019,26,201926,86135,6951.0,51748.0,3205.0,24043.0,0.6815,0.360617589910061,0.0807,0.6008,0.0372,0.2791,0.6844,0.2243,0.3379
38,IT,2019,21,201921,84135,6719.0,55430.0,5581.0,16197.0,0.7387,0.273046814493548,0.0799,0.6588,0.0663,0.1925,0.5463,0.2932,0.3816
39,ES,2019,26,201926,362070,26442.0,216069.0,15660.0,102746.0,0.6698,0.357943793171283,0.073,0.5968,0.0433,0.2838,0.628,0.2047,0.3088
40,IT,2019,36,201936,870497,,,,,,,,,,,,,
41,IT,2019,37,201937,936162,,,,,,,,,,,,,
42,FR,2019,31,201931,1,,,,,,,,,,,,,
43,FR,2019,26,201926,1,,,,,,,,,,,,,
44,ES,2019,33,201933,516946,,,,,,,,,,,,,
45,PE,2019,39,201939,209211,,,,,,,,,,,,,
46,AR,2019,27,201927,80210,4956.0,50186.0,3440.0,21390.0,0.6875,0.329440304106437,0.0618,0.6257,0.0429,0.2667,0.5903,0.1881,0.2853
47,FR,2019,27,201927,1,,,,,,,,,,,,,
48,IT,2019,25,201925,86401,6893.0,53791.0,3628.0,21884.0,0.7024,0.333855399322474,0.0798,0.6226,0.042,0.2533,0.6552,0.2395,0.3508
49,AR,2019,35,201935,190385,,,,,,,,,,,,,
50,AR,2019,37,201937,1017843,,,,,,,,,,,,,
51,FR,2019,37,201937,1,,,,,,,,,,,,,
52,PE,2019,24,201924,77271,4025.0,57108.0,3208.0,12700.0,0.7912,0.217092197660986,0.0521,0.7391,0.0415,0.1644,0.5565,0.2407,0.3361
53,FR,2019,30,201930,1,,,,,,,,,,,,,
54,AR,2019,25,201925,79676,5249.0,50679.0,3858.0,19673.0,0.7019,0.313646031286575,0.0659,0.6361,0.0484,0.2469,0.5764,0.2106,0.3085
55,PE,2019,27,201927,78681,3669.0,58269.0,3011.0,13510.0,0.7872,0.218955123057903,0.0466,0.7406,0.0383,0.1717,0.5493,0.2136,0.3076
56,PE,2019,31,201931,194586,30064.0,94640.0,14778.0,54146.0,0.6409,0.434906108620654,0.1545,0.4864,0.0759,0.2783,0.6704,0.357,0.4659
57,AR,2019,23,201923,78513,8777.0,47826.0,5844.0,15849.0,0.7209,0.314524369060999,0.1118,0.6091,0.0744,0.2019,0.6003,0.3564,0.4473
58,AR,2019,24,201924,79033,5165.0,50510.0,3864.0,19279.0,0.7045,0.310132203303814,0.0654,0.6391,0.0489,0.2439,0.572,0.2113,0.3086
59,IT,2019,35,201935,159001,,,,,,,,,,,,,
60,ES,2019,39,201939,694361,,,,,,,,,,,,,
61,FR,2019,38,201938,1,,,,,,,,,,,,,
62,FR,2019,21,201921,1,,,,,,,,,,,,,
63,ES,2019,23,201923,362506,24715.0,235366.0,18087.0,83201.0,0.7175,0.298631039187091,0.0682,0.6493,0.0499,0.2295,0.5774,0.229,0.3279
64,FR,2019,32,201932,1,,,,,,,,,,,,,
65,AR,2019,38,201938,847236,,,,,,,,,,,,,
66,PE,2019,28,201928,182542,21993.0,109059.0,21089.0,29737.0,0.7179,0.28442142535106,0.1205,0.5974,0.1155,0.1629,0.5105,0.4251,0.4639
67,ES,2019,29,201929,529403,50273.0,250789.0,18061.0,208377.0,0.5687,0.490331753554502,0.095,0.4737,0.0341,0.3936,0.7357,0.1944,0.3075
68,IT,2019,30,201930,169288,,,,,,,,,,,,,
69,AR,2019,31,201931,202478,35361.0,82867.0,8627.0,74701.0,0.5839,0.546061640437397,0.1746,0.4093,0.0426,0.3689,0.8039,0.3213,0.4591
70,IT,2019,22,201922,84963,6895.0,55542.0,5485.0,16846.0,0.7349,0.280070309550774,0.0812,0.6537,0.0646,0.1983,0.5569,0.2904,0.3817
71,FR,2019,35,201935,1,,,,,,,,,,,,,
72,PE,2019,25,201925,155900,7960.0,114954.0,6572.0,25944.0,0.7884,0.218130348066654,0.0511,0.7374,0.0422,0.1664,0.5478,0.2348,0.3287
73,AR,2019,34,201934,204333,,,,,,,,,,,,,
74,PE,2019,34,201934,205257,,,,,,,,,,,,,
75,ES,2019,24,201924,362418,24835.0,233209.0,17953.0,85317.0,0.712,0.304865020453124,0.0685,0.6435,0.0495,0.2354,0.5804,0.2255,0.3248
76,ES,2019,30,201930,520906,,,,,,,,,,,,,
77,IT,2019,28,201928,167248,26707.0,75098.0,13396.0,51596.0,0.6087,0.469450889404486,0.1597,0.449,0.0801,0.3085,0.666,0.3411,0.4511
78,PE,2019,21,201921,73997,3936.0,54403.0,3087.0,12316.0,0.7884,0.220390008407692,0.0532,0.7352,0.0417,0.1664,0.5604,0.2422,0.3382
79,PE,2019,26,201926,78416,3925.0,57802.0,3193.0,13269.0,0.7872,0.219903055417002,0.0501,0.7371,0.0407,0.1692,0.5514,0.2283,0.3229
80,AR,2019,32,201932,203650,39858.0,68130.0,6479.0,88251.0,0.5303,0.631956708333744,0.1957,0.3345,0.0318,0.4333,0.8602,0.3111,0.4569
81,ES,2019,38,201938,2765634,,,,,,,,,,,,,
82,IT,2019,33,201933,168607,,,,,,,,,,,,,
83,AR,2019,21,201921,78284,5169.0,49783.0,3789.0,19326.0,0.702,0.313768942062587,0.066,0.6359,0.0484,0.2469,0.577,0.211,0.309
84,IT,2019,29,201929,169256,28416.0,69121.0,11637.0,59635.0,0.5763,0.521601336421636,0.1679,0.4084,0.0688,0.3523,0.7095,0.3227,0.4436
85,PE,2019,36,201936,1031300,,,,,,,,,,,,,
86,FR,2019,22,201922,1,,,,,,,,,,,,,
87,ES,2019,31,201931,519936,,,,,,,,,,,,,
88,PE,2019,35,201935,193834,,,,,,,,,,,,,
89,PE,2019,32,201932,198259,20052.0,89369.0,3925.0,83852.0,0.5519,0.52690189555675,0.1011,0.4508,0.0198,0.4229,0.8363,0.193,0.3136
90,IT,2019,34,201934,166883,,,,,,,,,,,,,
91,FR,2019,33,201933,1,,,,,,,,,,,,,
92,PE,2019,37,201937,1071129,,,,,,,,,,,,,
93,AR,2019,26,201926,80133,5119.0,50813.0,3604.0,20373.0,0.698,0.319012877147756,0.0639,0.6341,0.045,0.2542,0.5868,0.2008,0.2992
94,IT,2019,32,201932,1,,,,,,,,,,,,,
