,yr,wk,period,country_code,current_churn_rate
0,2019,34,201934,IT,0.0252
1,2019,31,201931,PE,0.0101
2,2019,33,201933,PE,0.0295
3,2019,35,201935,IT,0.0293
4,2019,29,201929,AR,0.0327
5,2019,38,201938,AR,0.0687
6,2019,32,201932,IT,0.0246
7,2019,34,201934,PE,0.0299
8,2019,30,201930,IT,0.0209
9,2019,37,201937,PE,0.0655
10,2019,33,201933,IT,0.0265
11,2019,32,201932,PE,0.0308
12,2019,37,201937,ES,0.035
13,2019,39,201939,ES,0.0179
14,2019,31,201931,IT,0.0242
15,2019,37,201937,IT,0.0445
16,2019,35,201935,PE,0.0386
17,2019,34,201934,ES,0.0236
18,2019,32,201932,ES,0.0226
19,2019,39,201939,PE,0.0378
20,2019,35,201935,ES,0.0288
21,2019,33,201933,ES,0.0234
22,2019,36,201936,ES,0.057
23,2019,38,201938,IT,0.0473
24,2019,36,201936,IT,0.0665
25,2019,29,201929,IT,0.0203
26,2019,38,201938,PE,0.0863
27,2019,36,201936,PE,0.0887
28,2019,31,201931,ES,0.0231
29,2019,30,201930,AR,0.0189
30,2019,29,201929,PE,0.0327
31,2019,39,201939,AR,0.0403
32,2019,34,201934,AR,0.0314
33,2019,29,201929,ES,0.0256
34,2019,32,201932,AR,0.0312
35,2019,30,201930,ES,0.0216
36,2019,36,201936,AR,0.0857
37,2019,35,201935,AR,0.0401
38,2019,33,201933,AR,0.0324
39,2019,38,201938,ES,0.0383
40,2019,37,201937,AR,0.056
41,2019,30,201930,PE,0.0251
42,2019,39,201939,IT,0.0252
43,2019,31,201931,AR,0.0188
